City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Avera,90,US,1552236821,73,33.19,-82.53,77.0,11.41
Souillac,20,FR,1552236848,54,45.6,-0.6,55.99,17.22
Tautira,90,PF,1552236791,83,-17.73,-149.15,78.8,11.41
Vila Velha,40,BR,1552236495,78,-3.71,-38.6,82.4,18.34
Yinchuan,12,CN,1552236896,65,38.48,106.21,18.31,1.3
Baykit,64,RU,1552236897,61,61.68,96.39,3.23,4.76
Guerrero,75,AR,1552233600,63,-24.19,-65.45,66.2,2.24
Mrakovo,92,RU,1552236900,94,52.72,56.62,33.38,9.01
Nouadhibou,0,MR,1552233600,16,20.93,-17.03,87.8,4.7
Takaungu,20,KE,1552233600,78,-3.68,39.86,82.4,9.17
Say,24,NE,1552236904,19,13.1,2.36,90.94,9.8
Alofi,88,NU,1552233600,94,-19.06,-169.92,75.2,4.7
Savelugu,36,GH,1552236907,59,9.63,-0.83,83.96,4.76
Coahuayana,0,MX,1552236908,24,18.62,-100.35,87.88,3.04
Carutapera,88,BR,1552236909,100,-1.2,-46.02,78.07,5.06
Kingori,20,TZ,1552233600,31,-3.38,37.02,87.8,17.22
Kaduna,12,NG,1552236912,25,10.52,7.44,88.24,7.11
Vestmannaeyjar,0,IS,1552233600,55,63.44,-20.27,35.6,13.87
Nefteyugansk,90,RU,1552235400,86,61.09,72.61,26.6,13.42
Ugoofaaru,0,MV,1552236916,100,5.67,73.0,82.3,2.53
Rawson,0,AR,1552236755,21,-43.3,-65.11,89.05,16.91
Broome,40,GB,1552236903,80,52.47,1.45,46.99,20.8
Bonthe,0,SL,1552236920,64,7.53,-12.5,87.25,5.88
Richards Bay,92,ZA,1552236921,97,-28.77,32.06,72.76,4.54
Longyearbyen,20,NO,1552233000,70,78.22,15.63,1.4,2.24
Beira,75,ES,1552236906,82,43.2,-8.36,59.0,6.93
Shubarshi,12,KZ,1552236925,88,48.59,57.19,34.87,14.05
Ust-Tsilma,64,RU,1552236926,76,65.44,52.15,28.88,8.52
Rapid Valley,1,US,1552236905,73,44.06,-103.15,37.0,4.7
Valparaiso,90,US,1552236924,80,41.47,-87.06,37.4,24.16
Serdobsk,92,RU,1552236930,96,52.46,44.21,32.93,7.4
Biak,32,ID,1552236932,100,-0.91,122.88,77.39,3.2
Hamilton,40,BM,1552236368,64,32.3,-64.78,68.0,12.75
Bulls,0,NZ,1552236904,90,-40.17,175.39,57.99,10.31
Qasigiannguit,75,GL,1552233000,72,68.82,-51.19,12.2,12.75
Pleshanovo,48,RU,1552233600,86,57.46,28.17,37.4,6.71
Lodja,8,CD,1552236939,84,-3.52,23.6,78.11,1.3
Makakilo City,1,US,1552236939,68,21.35,-158.09,73.99,8.05
Nacala,80,MZ,1552236942,100,-14.56,40.69,79.51,3.76
Nabire,80,ID,1552236943,97,-3.36,135.5,66.86,2.08
Kota Belud,75,MY,1552236616,88,6.35,116.43,77.0,5.82
Talnakh,80,RU,1552236946,85,69.49,88.39,13.27,20.42
Guaca,75,CO,1552233600,88,6.88,-72.86,73.4,3.36
Bowen,75,AU,1552236910,94,-20.01,148.25,73.0,5.82
Surt,0,LY,1552236694,80,31.21,16.59,62.86,11.88
Kaitangata,20,NZ,1552236951,82,-46.28,169.85,51.97,7.56
Huayucachi,68,PE,1552236952,76,-12.13,-75.23,50.26,2.48
Kenai,90,US,1552236724,80,60.55,-151.26,35.01,5.82
Nangomba,88,TZ,1552236955,92,-10.9,38.52,75.01,4.38
El Silencio,36,CO,1552236957,76,7.03,-74.84,81.76,2.53
North Bend,1,US,1552236813,93,43.41,-124.22,39.0,5.82
Rionero in Vulture,0,IT,1552236959,73,40.93,15.67,50.26,8.23
Mantua,0,IT,1552236907,59,45.16,10.79,63.0,6.93
Atbasar,36,KZ,1552236962,83,51.81,68.36,18.26,10.87
Hasaki,75,JP,1552236574,93,35.73,140.83,52.0,11.41
Livadi,40,GR,1552236855,37,40.13,22.16,69.8,6.93
Batemans Bay,36,AU,1552236904,78,-35.71,150.18,64.99,3.0
Mehamn,40,NO,1552233000,72,71.03,27.85,19.4,6.93
Guasdualito,40,VE,1552233600,44,7.24,-70.73,93.2,3.36
Faya,0,SA,1552233600,55,18.39,42.45,64.4,3.36
Faanui,36,PF,1552236972,100,-16.48,-151.75,81.98,8.86
Corn Island,80,NI,1552236973,100,12.17,-83.04,79.69,15.35
Billings,1,US,1552236703,66,45.79,-108.5,21.99,11.41
Tuatapere,8,NZ,1552236605,88,-46.13,167.69,55.0,2.08
Bontang,36,ID,1552236977,98,0.12,117.47,81.13,3.98
Kyaikkami,0,MM,1552236978,86,16.08,97.57,66.41,2.08
Panguna,56,PG,1552236979,93,-6.32,155.48,75.1,2.82
Paamiut,8,GL,1552236981,100,61.99,-49.67,27.44,26.35
Okuchi,12,JP,1552236982,90,32.07,130.62,48.37,10.02
Vilhena,20,BR,1552233600,65,-12.74,-60.15,82.4,4.7
Klyuchi,0,RU,1552236985,80,52.25,79.17,8.36,8.41
Didi Lilo,0,GE,1552235400,50,41.74,44.97,51.8,3.36
Saint Anthony,1,US,1552236914,62,43.97,-111.68,30.0,5.82
Eydhafushi,0,MV,1552236989,100,5.1,73.07,82.3,2.53
Saint-Joseph,0,FR,1552236955,37,43.56,6.97,69.8,11.41
Atar,0,MR,1552236992,9,20.52,-13.05,86.35,9.13
Stepnyak,76,KZ,1552236994,85,52.83,70.79,19.79,15.84
Kotelnich,88,RU,1552236995,85,58.31,48.34,28.93,11.54
Bima,36,ID,1552236996,100,-8.45,118.73,74.02,1.86
Yatou,40,CM,1552233600,59,3.63,9.81,89.6,4.7
Shasta Lake,90,US,1552236999,100,40.68,-122.36,44.6,1.81
Sitka,56,US,1552237000,59,37.17,-99.65,44.59,12.33
Saskylakh,44,RU,1552237002,76,71.97,114.09,-12.07,8.12
Ntungamo,12,UG,1552237003,80,-0.87,30.27,66.82,2.26
Ponta Delgada,75,PT,1552233600,82,37.73,-25.67,62.6,9.17
Marsa Matruh,0,EG,1552233600,45,31.35,27.25,64.4,9.17
Bilecik,0,TR,1552234800,44,40.14,29.98,61.0,2.24
Pias,90,PT,1552236907,100,42.02,-8.51,61.0,3.36
San Policarpo,12,PH,1552237010,100,12.18,125.51,72.85,2.37
Khandyga,64,RU,1552237011,62,62.65,135.58,0.04,1.48
Merauke,92,ID,1552237012,100,-8.49,140.4,76.36,1.25
Brazzaville,20,CD,1552233600,49,-4.27,15.27,95.0,6.93
Koumac,56,NC,1552237015,93,-20.56,164.28,75.46,6.4
Ankara,40,TR,1552233000,59,39.92,32.85,59.0,14.99
Northam,40,GB,1552236972,75,51.04,-4.21,46.4,12.75
Monroe,90,US,1552237019,86,41.91,-83.4,39.2,25.28
Lagos,12,NG,1552236975,67,6.46,3.39,85.76,9.42
Muros,75,ES,1552236991,87,42.77,-9.06,61.0,4.7
Constitucion,20,MX,1552236616,26,23.99,-104.67,66.0,5.82
Aleksandriya,36,RU,1552237024,59,45.09,43.24,50.66,5.5
La Romana,40,DO,1552233600,66,18.43,-68.97,86.0,13.87
Tanabe,64,JP,1552237027,82,33.73,135.39,56.78,8.34
Mbini,40,GQ,1552233600,83,1.58,9.62,84.2,10.29
Kaifeng,0,CN,1552233600,53,34.8,114.35,51.8,6.71
Nanortalik,20,GL,1552237031,100,60.14,-45.24,28.43,14.05
Flinders,44,AU,1552236911,82,-34.58,150.85,75.99,4.83
Saldanha,0,PT,1552237034,54,41.42,-6.55,60.52,8.9
Marawi,44,PH,1552236339,82,8.0,124.29,73.99,1.99
Raudeberg,20,NO,1552236903,64,61.99,5.14,35.6,3.36
Beringovskiy,64,RU,1552237038,87,63.05,179.32,5.93,29.37
San Quintin,8,PH,1552237039,78,17.54,120.52,63.94,2.82
Port Macquarie,90,AU,1552236845,100,-31.43,152.91,73.99,4.7
Meulaboh,92,ID,1552237042,100,4.14,96.13,77.8,5.39
La Asuncion,20,EC,1552237043,70,-1.64,-78.74,58.18,3.83
Salym,88,RU,1552237045,86,60.06,71.48,31.99,9.31
Mumford,20,GH,1552237046,70,5.26,-0.76,85.36,7.56
Sesheke,24,NA,1552237048,36,-17.47,24.29,83.65,5.84
Kirksville,1,US,1552235700,75,40.19,-92.58,35.6,17.22
Pampa,1,US,1552236386,44,35.54,-100.96,41.0,11.41
Uvinza,8,TZ,1552237052,93,-5.1,30.39,68.17,1.97
Vostok,44,RU,1552237053,67,46.45,135.83,8.59,2.04
Bridlington,40,GB,1552236969,80,54.08,-0.19,42.01,16.11
Ruteng,80,ID,1552237056,98,-8.61,120.46,71.09,1.97
Angoche,92,MZ,1552237057,100,-16.23,39.91,80.95,18.03
Salinas,1,US,1552236939,81,36.67,-121.66,51.01,6.93
Matara,75,PE,1552233600,76,-13.74,-72.9,51.8,5.82
Arlit,0,NE,1552237061,27,18.74,7.39,82.34,2.37
Ossora,76,RU,1552237063,77,59.24,163.07,8.81,3.6
Dingli,0,MT,1552236911,59,35.86,14.38,60.8,4.7
Akureyri,75,IS,1552233600,68,65.68,-18.09,26.6,5.82
Diamantino,48,BR,1552237067,74,-14.4,-56.44,83.69,5.61
South Valley,40,US,1552236972,33,35.01,-106.68,51.01,6.93
Nouakchott,0,MR,1552235400,7,18.08,-15.98,93.2,13.87
Tibati,64,CM,1552237070,25,6.47,12.63,88.15,6.55
Lichuan,76,CN,1552237072,76,30.3,108.94,32.26,1.7
Amga,80,RU,1552237073,73,60.89,131.98,9.4,2.08
Grimshaw,20,CA,1552236322,77,56.19,-117.61,27.0,8.05
Araouane,0,ML,1552237076,14,18.9,-3.53,78.74,4.88
Marzuq,0,YE,1552237077,51,14.4,46.47,59.62,2.86
Tiksi,20,RU,1552237079,0,71.64,128.87,-28.09,2.86
Iquitos,75,PE,1552233600,319,-3.75,-73.25,42.8,4.7
Acurenam,24,GA,1552237081,80,1.03,10.67,76.94,2.3
Takoradi,0,GH,1552237083,97,4.89,-1.75,83.51,8.57
Bud,75,NO,1552236373,100,62.91,6.91,35.6,16.11
Champerico,5,MX,1552232400,48,16.38,-93.6,84.2,5.82
Kutum,0,SD,1552237086,23,14.2,24.66,65.51,9.53
Yalutorovsk,88,RU,1552237088,94,56.65,66.31,33.34,12.15
Diffa,12,NE,1552237089,16,13.32,12.61,89.86,10.65
Cabedelo,40,BR,1552233600,58,-6.97,-34.84,87.8,12.75
Chapais,75,CA,1552233600,48,49.78,-74.86,17.6,21.92
Samarai,92,PG,1552237093,100,-10.62,150.67,79.19,4.21
Karratha,0,AU,1552237094,69,-20.74,116.85,78.29,4.54
Madimba,40,CM,1552233600,59,4.42,9.93,89.6,4.7
Dergachi,92,RU,1552237097,89,51.24,48.77,35.99,12.1
Kanye,80,BW,1552237098,63,-24.98,25.34,74.56,5.5
Bayanday,0,RU,1552237099,73,53.07,105.52,4.04,4.32
Kanlagay,0,PH,1552237101,100,5.88,121.29,77.89,5.1
Dunedin,32,NZ,1552236728,90,-45.87,170.5,57.0,4.76
Hualmay,0,PE,1552237103,67,-11.1,-77.61,81.04,5.1
Tabou,68,CI,1552237104,100,4.42,-7.36,82.21,8.12
Moussoro,8,TD,1552237106,14,13.64,16.49,85.13,12.55
Sur,0,OM,1552237107,100,22.57,59.53,68.39,12.15
Inzer,92,RU,1552237109,91,54.22,57.56,32.03,5.21
Grushevskaya,40,RU,1552236560,87,47.44,39.97,50.0,11.18
Pangody,88,RU,1552237111,83,65.85,74.49,20.56,8.52
Dajal,44,PK,1552237112,89,29.56,70.38,56.33,2.08
Ixtapa,5,MX,1552236908,69,20.71,-105.21,79.0,1.59
Newport,24,GB,1552236963,75,51.59,-3.0,46.99,23.04
Blagodatnoye,92,RU,1552235400,100,51.57,35.54,37.4,13.42
Labuhan,12,ID,1552237118,96,-2.54,115.51,72.53,0.69
Severo-Kurilsk,48,RU,1552237119,100,50.68,156.12,25.06,19.08
Zulueta,75,CU,1552233180,51,22.37,-79.57,84.2,10.29
Kalachinsk,88,RU,1552237122,89,55.05,74.58,19.3,13.78
Pemberton,36,AU,1552236933,90,-34.44,116.03,60.01,6.4
Xinqing,64,CN,1552237124,70,48.28,129.53,15.56,2.26
Tuy Hoa,36,VN,1552236880,100,13.08,109.3,73.61,4.27
Bardsir,40,IR,1552233600,73,29.93,56.57,37.4,4.7
El Alto,40,BO,1552233600,54,-16.5,-68.19,57.2,8.05
Sao Joao da Barra,40,BR,1552233600,52,-21.64,-41.05,93.2,9.17
Maseru,80,LS,1552237131,95,-29.31,27.48,55.84,2.3
Gold Coast,90,AU,1552236923,83,-28.0,153.41,78.01,11.41
Galveston,90,US,1552237128,80,40.58,-86.19,37.99,21.92
Grindavik,0,IS,1552235400,59,63.84,-22.43,35.6,6.93
Pidhorodne,75,UA,1552235400,93,48.57,35.1,39.2,11.18
Guarapari,20,BR,1552236904,53,-20.67,-40.5,95.0,16.11
Sungaipenuh,56,ID,1552237139,94,-2.08,101.38,66.55,1.36
Severodvinsk,40,RU,1552235400,86,64.56,39.82,26.6,6.71
Mae Sot,0,MM,1552237142,73,16.71,98.57,63.13,1.86
Olds,5,CA,1552236904,84,51.79,-114.11,26.01,5.82
Tocopilla,0,CL,1552236952,82,-22.09,-70.2,72.04,6.06
Maniitsoq,20,GL,1552237146,88,65.42,-52.9,12.91,8.01
Naze,24,NG,1552237147,79,5.43,7.07,82.03,2.37
Igarka,88,RU,1552237148,84,67.47,86.57,18.04,18.52
Sahuaripa,88,MX,1552237150,58,29.05,-109.23,60.88,1.25
Donskoye,40,RU,1552235400,66,45.45,41.98,51.01,17.9
Boulder City,1,US,1552237117,40,35.98,-114.83,52.0,3.36
Kahului,1,US,1552236643,64,20.89,-156.47,73.4,18.34
Sainte-Thecle,90,CA,1552234320,92,46.82,-72.5,18.0,13.87
Dakar,0,SN,1552235400,24,14.69,-17.45,91.4,13.87
Rovira,75,CO,1552233600,65,4.24,-75.24,82.4,5.82
Shinpokh,75,PK,1552233300,51,34.33,71.18,60.8,3.04
Westport,40,IE,1552237091,69,53.8,-9.52,39.0,21.92
Klaksvik,56,FO,1552234800,94,62.23,-6.59,33.8,6.93
Miri,44,NG,1552237163,33,10.31,9.75,86.21,6.22
Susurluk,0,TR,1552233000,48,39.91,28.16,66.2,8.05
Kimbe,92,PG,1552237165,100,-5.56,150.15,76.81,6.51
Luderitz,0,NA,1552237166,70,-26.65,15.16,64.16,23.44
Spassk-Ryazanskiy,88,RU,1552237059,83,54.41,40.38,35.01,3.0
Dibulla,40,CO,1552233600,52,11.27,-73.31,89.6,20.8
Nome,90,US,1552237133,94,30.04,-94.42,75.99,5.82
Banda Aceh,0,ID,1552237172,100,5.56,95.32,72.67,2.19
Kavaratti,36,IN,1552237173,100,10.57,72.64,82.93,4.32
Anzio,75,IT,1552237144,82,41.45,12.63,59.0,12.75
Chakrata,0,IN,1552237175,83,30.7,77.87,41.39,2.82
Limbang,75,BN,1552235400,100,4.75,115.01,77.0,2.24
Abu Dhabi,20,AE,1552233600,63,24.47,54.37,66.2,11.41
Morondava,92,MG,1552237179,100,-20.3,44.28,75.68,5.84
Lons-le-Saunier,75,FR,1552237149,47,46.67,5.56,59.0,11.41
Tessalit,0,ML,1552237182,12,20.2,1.01,74.33,6.22
Brae,68,GB,1552236600,93,60.4,-1.35,41.0,8.05
Vanavara,0,RU,1552237185,72,60.35,102.28,9.94,4.99
Blagoyevo,80,RU,1552237186,83,63.37,47.92,28.57,5.28
Bougouni,0,ML,1552237187,22,11.42,-7.49,91.93,7.78
Svetlogorsk,75,RU,1552235400,86,53.14,59.15,33.8,17.9
Vila do Maio,0,CV,1552233600,54,15.13,-23.22,78.8,23.04
Paita,0,PE,1552233600,290,-5.09,-81.11,62.6,3.36
Landerneau,92,FR,1552237086,57,48.45,-4.26,51.01,16.11
Camopi,48,GF,1552237194,91,3.17,-52.33,77.48,2.86
Maldonado,20,UY,1552233600,56,-34.91,-54.96,69.8,11.41
Dauphin,90,CA,1552235880,92,51.15,-100.04,15.8,6.93
Rancho Cordova,40,US,1552237190,66,38.59,-121.3,55.0,6.93
Arilje,0,RS,1552233600,53,43.75,20.1,68.0,14.99
Oksfjord,20,NO,1552236326,78,70.24,22.35,17.6,5.82
Sorland,20,NO,1552234800,100,67.67,12.69,32.0,10.29
Waingapu,24,ID,1552237204,98,-9.65,120.26,74.2,2.82
Manokwari,92,ID,1552237207,99,-0.87,134.08,80.81,9.8
Bindki,0,IN,1552237208,49,26.04,80.58,67.27,8.86
Kathu,0,ZA,1552236392,28,-27.7,23.05,79.0,9.53
Sao Felix do Xingu,32,BR,1552237214,70,-6.64,-51.99,86.26,2.86
Shitanjing,20,CN,1552237215,62,39.23,106.34,12.1,2.48
Airai,68,TL,1552237217,85,-8.93,125.41,68.66,0.96
Maragogi,0,BR,1552236969,63,-9.01,-35.22,86.8,10.54
Abengourou,24,CI,1552237219,71,6.73,-3.5,86.44,3.2
Sibolga,92,ID,1552237221,100,1.74,98.78,68.48,0.51
Solnechnyy,32,RU,1552237222,70,50.72,136.64,11.02,2.48
Denham Springs,90,US,1552237223,83,30.49,-90.96,78.01,3.36
Aden,0,YE,1552237225,93,12.79,45.03,80.14,18.19
Terre Haute,90,US,1552237206,74,39.47,-87.41,43.0,6.93
Parsabad,0,AZ,1552233600,71,39.65,47.92,50.0,4.7
Dovers,75,VC,1552233600,74,12.88,-61.18,78.8,14.99
Khandbari,32,NP,1552237231,70,27.38,87.21,27.85,1.52
Caronport,8,CA,1552237223,83,50.46,-105.81,12.0,4.0
Gizo,75,IL,1552237086,59,31.8,34.94,61.0,5.82
Pecos,90,US,1552234500,26,31.42,-103.49,57.2,5.82
Port Hardy,40,CA,1552233600,92,50.7,-127.42,28.4,4.7
Paracuru,40,BR,1552237095,78,-3.41,-39.03,82.4,18.34
Kurchum,92,KZ,1552237239,87,48.57,83.65,25.33,3.71
Novyy Buh,0,UA,1552235400,81,47.69,32.52,41.0,13.42
Buraydah,0,SA,1552233600,32,26.33,43.97,66.2,3.36
Diu,0,IN,1552237243,69,20.71,70.98,69.7,7.34
Havoysund,20,NO,1552234800,78,71.0,24.66,19.4,5.82
Rantepao,64,ID,1552237246,100,-2.97,119.9,65.51,1.97
Wasilla,75,US,1552237184,80,61.58,-149.44,37.99,11.41
Zhezkazgan,80,KZ,1552237082,87,47.8,67.71,21.41,3.31
Inza,76,RU,1552237018,96,53.86,46.36,34.64,6.4
Chicama,40,PE,1552233600,78,-7.84,-79.15,75.2,10.29
Clarksburg,40,US,1552236973,51,39.28,-80.34,64.99,17.22
San,0,ML,1552236972,34,13.3,-4.9,87.61,4.99
Middelburg,44,ZA,1552237063,90,-25.77,29.46,65.11,5.77
Victor Harbor,40,AU,1552237248,88,-35.55,138.62,69.8,10.29
Kroonstad,20,ZA,1552236425,79,-27.65,27.24,66.99,9.08
Bonavista,48,CA,1552236420,74,48.65,-53.11,28.99,14.0
Sokoto,0,NG,1552237261,25,13.06,5.24,90.89,4.83
Ingham,88,AU,1552237262,97,-18.65,146.16,79.01,7.74
Palmas,32,BR,1552237264,100,-10.18,-48.33,82.3,3.31
Bow Island,90,CA,1552235704,85,49.87,-111.38,15.01,6.93
Caucaia,40,BR,1552237095,78,-3.73,-38.66,82.4,18.34
Gat,0,SN,1552235400,24,14.69,-16.54,91.4,13.87
Abu Samrah,8,SY,1552237269,66,35.3,37.18,51.79,11.32
Islamkot,0,PK,1552237271,51,24.7,70.18,72.89,12.66
Benalla,90,AU,1552237206,100,-36.55,145.99,61.0,1.12
Sturlic,20,BA,1552237024,48,45.06,15.78,56.38,10.54
Itacare,20,BR,1552233600,66,-14.28,-39.0,87.8,8.05
